;19.04.2023;26.04.2023;08.05.2023;09.05.2023;10.05.2023;22.05.2023;25.05.2023;30.05.2023;07.06.2023;22.06.2023;23.06.2023;26.06.2023
1;x;;x;;;;;;x;;;
2;x;;;x;;;;;x;;;
4;x;;;x;;;;;;;x;
6;x;;;;x;;;;;;x;
7;;x;;;x;;;;;x;;
8;;x;;;;x;;;x;;;
9;;x;;;x;;;;;x;;
10;;;;x;;;x;;;x;;
11;;;;x;x;;;;;;x;
14;;;x;x;;;;;;x;;
16;;;x;;;;;x;x;;;
17;;;;x;;x;;;;x;;
18;;;x;x;;;;;x;;;
19;;;;x;;;;x;;x;;
20;;;;x;;x;;;x;;;
21;;;;x;;;x;;x;;;
22;;;;;x;x;;;;;x;
24;;;;;x;;;x;;;;x
25;;;;;;;x;;;;x;
26;;;;;;x;x;;x;;;
