Questions;Answers; ; ; ; ;Indexes; ; ; ;
Sensoriklabor Probe 644 Farbe;Rubinrot; ; ; ; ;1; ; ; ;
Sensoriklabor Probe 644 Geruch;Fruchtig;Erdbeere;Kirsche;Würzig; ;0;1;2;6;
Sensoriklabor Probe 644 Geschmack;Sauer;Alkoholisch;Adstringierend;Tannine; ;3;6;7;8;
Sensoriklabor Probe 983 Farbe;Hellrot mit braunem Rand; ; ; ; ;0; ; ; ;
Sensoriklabor Probe 983 Geruch;Pflaume;Würzig;Rauchig;Holz; ;4;6;10;11;
Sensoriklabor Probe 983 Geschmack;Leichte Süße;Dezente Säure;Bitter;Alkoholisch;Holz;0;2;5;6;9
Proband ID;17; ; ; ;
Studie;CATA; ; ; ;
Studie Variante;Rotwein; ; ; ;
Umgebung;Sensoriklabor; ; ; ;
