Questions;Answers; ; ; ;Indexes; ; ;
Weinkeller Probe 644 Farbe;Dunkelrot mit bläul. Reflexen; ; ; ;2; ; ;
Weinkeller Probe 644 Geruch;Kirsche;Dunkle Beeren;Würzig;Holz;2;3;6;11
Weinkeller Probe 644 Geschmack;Sauer;Tannine;Holz; ;3;8;9;
Weinkeller Probe 322 Farbe;Dunkelrot mit bläul. Reflexen; ; ; ;2; ; ;
Weinkeller Probe 322 Geruch;Dunkle Beeren;Pflaume;Rauchig;Dumpf;3;4;10;12
Weinkeller Probe 322 Geschmack;Leichte Süße;Dezente Säure;Adstringierend; ;0;2;7;
Proband ID;26; ; ;
Studie;CATA; ; ;
Studie Variante;Rotwein; ; ;
Umgebung;Weinkeller; ; ;
