Questions;Answers; ; ; ; ;Indexes; ; ; ;
Sensoriklabor Probe 644 Farbe;Dunkelrot mit bläul. Reflexen; ; ; ; ;2; ; ; ;
Sensoriklabor Probe 644 Geruch;Fruchtig;Kirsche;Dunkle Beeren;Vanille;Holz;0;2;3;8;11
Sensoriklabor Probe 644 Geschmack;Leichte Süße;Alkoholisch;Adstringierend;Tannine; ;0;6;7;8;
Sensoriklabor Probe 983 Farbe;Hellrot mit braunem Rand; ; ; ; ;0; ; ; ;
Sensoriklabor Probe 983 Geruch;Vegetativ;Würzig;Dumpf; ; ;5;6;12; ;
Sensoriklabor Probe 983 Geschmack;Leichte Süße;Dezente Säure;Bitter;Adstringierend; ;0;2;5;7;
Proband ID;22; ; ; ;
Studie;CATA; ; ; ;
Studie Variante;Rotwein; ; ; ;
Umgebung;Sensoriklabor; ; ; ;
