Questions;Answers; ; ; ;Indexes; ; ;
Weinkeller Probe 720 Farbe;Gelblich-grün; ; ; ;2; ; ;
Weinkeller Probe 720 Geruch;ButtrigLaktisch;Dumpf; ; ;9;11; ;
Weinkeller Probe 720 Geschmack;Leichte Süße;Dezente Säure;SchmelzCremig; ;0;3;8;
Weinkeller Probe 131 Farbe;Gelblich-grün; ; ; ;2; ; ;
Weinkeller Probe 131 Geruch;ButtrigLaktisch;Dumpf; ; ;9;11; ;
Weinkeller Probe 131 Geschmack;Leichte Süße;Dezente Säure;SchmelzCremig;Holz;0;3;8;9
Weinkeller Probe 364 Farbe;Hellgelb; ; ; ;0; ; ;
Weinkeller Probe 364 Geruch;Vegetativ;ButtrigLaktisch; ; ;8;9; ;
Weinkeller Probe 364 Geschmack;Leichte Süße;Dezente Säure;SchmelzCremig; ;0;3;8;
Proband ID;29; ; ;
Studie;CATA; ; ;
Studie Variante;Weißwein; ; ;
Umgebung;Weinkeller; ; ;
