Questions;Answers; ; ;Indexes; ;
Sensoriklabor Probe 644 Farbe;Rubinrot; ; ;1; ;
Sensoriklabor Probe 644 Geruch;Vegetativ;Erdbeere;Kirsche;1;5;6
Sensoriklabor Probe 644 Geschmack;Dezente Säure;Bitter; ;5;7;
Sensoriklabor Probe 983 Farbe;Hellrot mit braunem Rand; ; ;0; ;
Sensoriklabor Probe 983 Geruch;Fruchtig;Würzig;Pfeffer;0;2;11
Sensoriklabor Probe 983 Geschmack;Tannine;Dezente Säure; ;2;5;
Proband ID;12; ;
Studie;CATA; ;
Studie Variante;Rotwein; ;
Umgebung;Sensoriklabor; ;
