Questions;Answers; ; ;Indexes; ;
Weinkeller Probe 720 Farbe;Hellgelb; ; ;0; ;
Weinkeller Probe 720 Geruch;Fruchtig; ; ;2; ;
Weinkeller Probe 720 Geschmack;Süß;Dezente Säure;SchmelzCremig;1;3;8
Weinkeller Probe 364 Farbe;Hellgelb; ; ;0; ;
Weinkeller Probe 364 Geruch;Blumig;Fruchtig;Apfel;0;2;6
Weinkeller Probe 364 Geschmack;Leichte Süße;Dezente Säure; ;0;3;
Weinkeller Probe 597 Farbe;Gelblich-grün; ; ;2; ;
Weinkeller Probe 597 Geruch;Fruchtig;Vegetativ;Dumpf;2;8;11
Weinkeller Probe 597 Geschmack;Leichte Süße;Dezente Säure; ;0;3;
Proband ID;20; ;
Studie;CATA; ;
Studie Variante;Weißwein; ;
Umgebung;Weinkeller; ;
