S Questions;Answers;;;;;;;
S Probe 597 Farbe;Mittleres gelb;;;;;;;
S Probe 597 Geruch;Fruchtig;Blumig;Vegetativ;Zitrus;Honigmelone;Apfel;Birne;Holz
S Probe 597 Geschmack;Süß;Starke Süße;Sauer;;;;;
S Probe 364 Farbe;Mittleres gelb;;;;;;;
S Probe 364 Geruch;Blumig;Vegetativ;Apfel;Birne;;;;
S Probe 364 Geschmack;Sauer;Leichte Süße;Dominante Säure;;;;;
S Probe 131 Farbe;Gelblich-grün;;;;;;;
S Probe 131 Geruch;Fruchtig;Zitrus;Honigmelone;Pfirsich;Apfel;Birne;;
S Probe 131 Geschmack;Sauer;Leichte Süße;SchmelzCremig;;;;;
