Weinkeller Questions;Answers;;;;;;;
Weinkeller Probe 322 Farbe;deep red with blue reflection;;;;;;;
Weinkeller Probe 322 Geruch;Fruchtig;Erdbeere;Kirsche;Pflaume;Würzig;Vanille;Pfeffer;Holz
Weinkeller Probe 322 Geschmack;Leichte Süße;Sauer;Tannine;Holz;;;;
Weinkeller Probe 983 Farbe;Rubinrot;;;;;;;
Weinkeller Probe 983 Geruch;Fruchtig;Kirsche;Pflaume;Vegetativ;Würzig;Dumpf;;
Weinkeller Probe 983 Geschmack;Leichte Süße;Dominante Säure;;;;;;
