Questions;Answers;;;;
Weinkeller Probe 131 Farbe;Hellgelb;;;;
Weinkeller Probe 131 Geruch;Fruchtig;Zitrus;Pfirsich;Apfel;Birne
Weinkeller Probe 131 Geschmack;Süß;Dominante Säure;;;
Weinkeller Probe 597 Farbe;Hellgelb;;;;
Weinkeller Probe 597 Geruch;Honigmelone;Apfel;Holz;;
Weinkeller Probe 597 Geschmack;Starke Süße;Sauer;SchmelzCremig;;
Weinkeller Probe 364 Farbe;Hellgelb;;;;
Weinkeller Probe 364 Geruch;Blumig;Rose;Fruchtig;Honigmelone;
Weinkeller Probe 364 Geschmack;Süß;Dezente Säure;Bitter;Alkoholisch;
