W Questions;Answers;;;;
W Probe 322 Farbe;Dunkelrot mit bläul. Reflexen;;;;
W Probe 322 Geruch;Fruchtig;Kirsche;Dunkle Beeren;Pflaume;Nelke
W Probe 322 Geschmack;Leichte Süße;Dezente Säure;Adstringierend;;
W Probe 983 Farbe;Hellrot mit braunem Rand;;;;
W Probe 983 Geruch;Vegetativ;Würzig;Pfeffer;Rauchig;Dumpf
W Probe 983 Geschmack;Dezente Säure;Adstringierend;Tannine;;
