W Questions;Answers;;;;
W Probe 322 Farbe;deep red with blue reflection;;;;
W Probe 322 Geruch;Fruchtig;Erdbeere;Kirsche;Dunkle Beeren;Pflaume
W Probe 322 Geschmack;Süß;Dezente Säure;;;
W Probe 983 Farbe;Hellrot mit braunem Rand;;;;
W Probe 983 Geruch;Fruchtig;Erdbeere;Dunkle Beeren;Rauchig;Holz
W Probe 983 Geschmack;Leichte Süße;Dominante Säure;Bitter;Adstringierend;Tannine
