V Questions;Answers;;;;;;
V Probe 322 Farbe;Dunkelrot mit bläul. Reflexens;;;;;;
V Probe 322 Geruch;Fruchtig;Vegetativ;Würzig;Erdbeere;Kirsche;Pflaume;
V Probe 322 Geschmack;Süß;Sauer;Leichte Süße;;;;
V Probe 983 Farbe;Rubinrot;;;;;;
V Probe 983 Geruch;Fruchtig;Würzig;Rauchig;Kirsche;Dunkle Beeren;Nelke;Holz
V Probe 983 Geschmack;Sauer;Holz;Leichte Süße;Dominante Säure;;;
