W Questions;Answers;;;;;
W Probe 322 Farbe;Rubinrot;;;;;
W Probe 322 Geruch;Kirsche;Dunkle Beeren;Würzig;;;
W Probe 322 Geschmack;Leichte Süße;Sauer;Alkoholisch;Adstringierend;Tannine;Holz
W Probe 983 Farbe;Hellrot mit braunem Rand;;;;;
W Probe 983 Geruch;Fruchtig;Dunkle Beeren;Vegetativ;Holz;;
W Probe 983 Geschmack;Leichte Süße;Sauer;Tannine;;;
