S Questions;Answers;;;;;;
S Probe 644 Farbe;Dunkelrot mit bläul. Reflexens;;;;;;
S Probe 644 Geruch;Fruchtig;Vegetativ;Kirsche;Dunkle Beeren;Nelke;Vanille;Pfeffer
S Probe 644 Geschmack;Tannine;Sauer;Leichte Süße;;;;
S Probe 983 Farbe;Rubinrot;;;;;;
S Probe 983 Geruch;Rauchig;Kirsche;Holz;;;;
S Probe 983 Geschmack;Alkoholisch;Holz;Dominante Säure;;;;
