S Questions;Answers;;
S Probe 644 Farbe;Dunkelrot mit bläul. Reflexens;;
S Probe 644 Geruch;Dunkle Beeren;Vanille;Holz
S Probe 644 Geschmack;Tannine;Dezente Säure;Holz
S Probe 983 Farbe;Hellrot mit braunem Rand;;
S Probe 983 Geruch;Vegetativ;Kirsche;
S Probe 983 Geschmack;Süß;Dezente Säure;
