Questions;Answers; ; ;Indexes; ;
Sensoriklabor Probe 644 Farbe;Dunkelrot mit bläul. Reflexen; ; 
Sensoriklabor Probe 644 Geruch;Fruchtig;Vegetativ;Holz
Sensoriklabor Probe 644 Geschmack;Dezente Säure;Holz;Bitter
Sensoriklabor Probe 983 Farbe;Rubinrot; ; 
Sensoriklabor Probe 983 Geruch;Fruchtig;Vegetativ;Dumpf
Sensoriklabor Probe 983 Geschmack;Bitter;Dominante Säure; 
Proband ID;3; ;

Studie;CATA; ;

Studie Variante;Rotwein; ;

Umgebung;Sensoriklabor; ;

