Questions;Answers; ; ; ;Indexes; ; ;
Weinkeller Probe 720 Farbe;Gelblich-grün; ; ; 
Weinkeller Probe 720 Geruch;ButtrigLaktisch;Dumpf; ; 
Weinkeller Probe 720 Geschmack;Leichte Süße;Dezente Säure;SchmelzCremig; 
Weinkeller Probe 131 Farbe;Gelblich-grün; ; ; 
Weinkeller Probe 131 Geruch;ButtrigLaktisch;Dumpf; ; 
Weinkeller Probe 131 Geschmack;Leichte Süße;Dezente Säure;SchmelzCremig;Holz
Weinkeller Probe 364 Farbe;Hellgelb; ; ; 
Weinkeller Probe 364 Geruch;Vegetativ;ButtrigLaktisch; ; 
Weinkeller Probe 364 Geschmack;Leichte Süße;Dezente Säure;SchmelzCremig; 
Proband ID;29; ; ;

Studie;CATA; ; ;

Studie Variante;Weißwein; ; ;

Umgebung;Weinkeller; ; ;

